Time(sec),Vehicle_ID,Vehicle_Type,Violation_Type,Speed(km/h)
0.17,13,motorcycle,Over-Speeding,89.06
0.33,13,motorcycle,Over-Speeding,100.45
0.63,26,motorcycle,Over-Speeding,206.97
0.67,13,motorcycle,Over-Speeding,167.75
0.67,28,truck,Over-Speeding,130.05
0.93,23,car,Over-Speeding,81.72
1.07,17,car,Over-Speeding,200.89
1.23,16,car,Over-Speeding,109.34
1.67,16,truck,Over-Speeding,86.4
1.8,32,truck,Over-Speeding,97.35
1.83,16,car,Over-Speeding,82.6
2.27,55,truck,Over-Speeding,81.18
2.43,51,car,Over-Speeding,85.38
2.9,38,car,Over-Speeding,94.31
3.47,66,truck,Over-Speeding,181.52
4.0,5,car,Illegal Parking,5.4
4.03,5,car,Illegal Parking,5.4
4.07,5,car,Illegal Parking,0.0
4.1,5,car,Illegal Parking,7.64
4.13,5,car,Illegal Parking,5.4
4.17,5,car,Illegal Parking,5.4
4.2,5,car,Illegal Parking,5.4
4.23,5,car,Illegal Parking,7.64
4.27,5,car,Illegal Parking,5.4
4.3,5,car,Illegal Parking,5.4
4.33,5,car,Illegal Parking,7.64
4.37,5,car,Illegal Parking,5.4
4.4,5,car,Illegal Parking,0.0
4.43,5,car,Illegal Parking,5.4
4.47,5,car,Illegal Parking,0.0
4.5,5,car,Illegal Parking,0.0
4.53,5,car,Illegal Parking,7.64
4.57,5,car,Illegal Parking,0.0
4.6,5,car,Illegal Parking,0.0
4.63,5,car,Illegal Parking,5.4
4.67,5,car,Illegal Parking,5.4
4.7,5,car,Illegal Parking,5.4
4.73,5,car,Illegal Parking,0.0
4.77,5,car,Illegal Parking,5.4
4.8,5,car,Illegal Parking,5.4
4.83,5,car,Illegal Parking,5.4
4.87,5,car,Illegal Parking,0.0
4.9,5,car,Illegal Parking,5.4
4.93,5,car,Illegal Parking,0.0
4.97,5,car,Illegal Parking,0.0
5.0,5,car,Illegal Parking,5.4
5.03,5,car,Illegal Parking,0.0
5.07,5,car,Illegal Parking,0.0
5.07,62,truck,Over-Speeding,92.28
5.1,5,car,Illegal Parking,0.0
5.13,5,car,Illegal Parking,5.4
5.17,5,car,Illegal Parking,0.0
5.2,5,car,Illegal Parking,5.4
5.23,5,car,Illegal Parking,5.4
5.27,5,car,Illegal Parking,0.0
5.3,5,car,Illegal Parking,0.0
5.33,5,car,Illegal Parking,0.0
5.37,5,car,Illegal Parking,0.0
5.4,5,car,Illegal Parking,0.0
5.43,5,car,Illegal Parking,0.0
5.43,62,truck,Over-Speeding,133.37
5.47,5,car,Illegal Parking,0.0
5.5,5,car,Illegal Parking,5.4
5.53,5,car,Illegal Parking,0.0
5.53,78,truck,Over-Speeding,85.38
5.57,5,car,Illegal Parking,5.4
5.6,5,car,Illegal Parking,0.0
5.63,5,car,Illegal Parking,5.4
5.67,5,car,Illegal Parking,0.0
5.7,5,car,Illegal Parking,0.0
5.73,5,car,Illegal Parking,5.4
5.77,5,car,Illegal Parking,0.0
5.8,5,car,Illegal Parking,0.0
5.83,5,car,Illegal Parking,0.0
5.83,78,truck,Over-Speeding,114.42
5.87,5,car,Illegal Parking,5.4
5.87,93,motorcycle,Over-Speeding,111.32
5.9,5,car,Illegal Parking,5.4
5.93,5,car,Illegal Parking,7.64
5.97,5,car,Illegal Parking,5.4
6.0,5,car,Illegal Parking,7.64
6.0,76,car,Over-Speeding,170.76
6.03,5,car,Illegal Parking,0.0
6.07,5,car,Illegal Parking,5.4
6.1,5,car,Illegal Parking,0.0
6.1,66,car,Over-Speeding,177.63
6.13,5,car,Illegal Parking,0.0
6.13,93,motorcycle,Over-Speeding,99.28
6.17,5,car,Illegal Parking,5.4
6.2,5,car,Illegal Parking,5.4
6.23,5,car,Illegal Parking,0.0
6.27,5,car,Illegal Parking,0.0
6.3,5,car,Illegal Parking,0.0
6.33,5,car,Illegal Parking,0.0
6.33,117,motorcycle,Over-Speeding,133.37
6.37,5,car,Illegal Parking,0.0
6.4,5,car,Illegal Parking,0.0
6.43,5,car,Illegal Parking,5.4
6.43,62,truck,Over-Speeding,122.43
6.47,5,car,Illegal Parking,0.0
6.5,5,car,Illegal Parking,0.0
6.53,5,car,Illegal Parking,5.4
6.53,66,car,Over-Speeding,82.43
6.57,5,car,Illegal Parking,0.0
6.6,5,car,Illegal Parking,0.0
6.63,5,car,Illegal Parking,0.0
6.67,5,car,Illegal Parking,0.0
6.67,117,motorcycle,Over-Speeding,96.14
6.7,5,car,Illegal Parking,0.0
6.73,5,car,Illegal Parking,5.4
6.77,5,car,Illegal Parking,5.4
6.8,5,car,Illegal Parking,0.0
6.83,5,car,Illegal Parking,0.0
6.87,5,car,Illegal Parking,5.4
6.9,5,car,Illegal Parking,0.0
6.93,5,car,Illegal Parking,5.4
6.97,5,car,Illegal Parking,5.4
7.0,5,car,Illegal Parking,5.4
7.03,5,car,Illegal Parking,5.4
7.07,5,car,Illegal Parking,0.0
7.1,5,car,Illegal Parking,0.0
7.13,5,car,Illegal Parking,0.0
7.17,5,car,Illegal Parking,0.0
7.2,5,car,Illegal Parking,0.0
7.23,5,car,Illegal Parking,5.4
7.27,5,car,Illegal Parking,0.0
7.3,5,car,Illegal Parking,0.0
7.33,5,car,Illegal Parking,0.0
7.37,5,car,Illegal Parking,0.0
7.4,5,car,Illegal Parking,0.0
7.4,108,car,Over-Speeding,106.09
7.43,5,car,Illegal Parking,0.0
7.47,5,car,Illegal Parking,5.4
7.5,5,car,Illegal Parking,0.0
7.53,5,car,Illegal Parking,5.4
7.57,5,car,Illegal Parking,5.4
7.6,5,car,Illegal Parking,0.0
7.63,5,car,Illegal Parking,7.64
7.67,5,car,Illegal Parking,0.0
7.7,5,car,Illegal Parking,0.0
7.73,5,car,Illegal Parking,5.4
7.73,138,car,Over-Speeding,100.88
7.77,5,car,Illegal Parking,0.0
7.8,5,car,Illegal Parking,5.4
7.83,5,car,Illegal Parking,5.4
7.87,5,car,Illegal Parking,5.4
7.9,5,car,Illegal Parking,0.0
7.93,5,car,Illegal Parking,5.4
7.97,5,car,Illegal Parking,5.4
7.97,136,car,Over-Speeding,194.7
8.0,5,car,Illegal Parking,5.4
8.03,5,car,Illegal Parking,0.0
8.07,5,car,Illegal Parking,0.0
8.1,5,car,Illegal Parking,5.4
8.13,5,car,Illegal Parking,0.0
8.17,5,car,Illegal Parking,5.4
8.17,50,car,Over-Speeding,240.83
8.2,5,car,Illegal Parking,0.0
8.23,5,car,Illegal Parking,0.0
8.27,5,car,Illegal Parking,0.0
8.27,50,car,Over-Speeding,180.48
8.3,5,car,Illegal Parking,0.0
8.33,5,car,Illegal Parking,0.0
8.37,5,car,Illegal Parking,0.0
8.4,5,car,Illegal Parking,0.0
8.43,5,car,Illegal Parking,0.0
8.47,5,car,Illegal Parking,5.4
8.47,164,car,Over-Speeding,101.46
8.5,5,car,Illegal Parking,0.0
8.53,5,car,Illegal Parking,0.0
8.57,5,car,Illegal Parking,0.0
8.6,5,car,Illegal Parking,5.4
8.63,5,car,Illegal Parking,0.0
8.67,5,car,Illegal Parking,0.0
8.7,5,car,Illegal Parking,0.0
8.73,5,car,Illegal Parking,7.64
8.77,5,car,Illegal Parking,5.4
8.8,5,car,Illegal Parking,0.0
8.83,5,car,Illegal Parking,0.0
8.87,5,car,Illegal Parking,0.0
8.9,5,car,Illegal Parking,0.0
8.9,160,truck,Over-Speeding,118.43
8.93,5,car,Illegal Parking,0.0
8.97,5,car,Illegal Parking,0.0
9.0,5,car,Illegal Parking,0.0
9.03,5,car,Illegal Parking,0.0
9.07,5,car,Illegal Parking,0.0
9.1,5,car,Illegal Parking,0.0
9.13,5,car,Illegal Parking,0.0
9.17,5,car,Illegal Parking,0.0
9.2,5,car,Illegal Parking,0.0
9.23,5,car,Illegal Parking,0.0
9.27,5,car,Illegal Parking,5.4
9.3,5,car,Illegal Parking,5.4
9.33,5,car,Illegal Parking,0.0
9.37,5,car,Illegal Parking,5.4
9.4,5,car,Illegal Parking,0.0
9.43,5,car,Illegal Parking,0.0
9.47,5,car,Illegal Parking,0.0
9.47,150,car,Over-Speeding,92.91
9.5,5,car,Illegal Parking,0.0
9.5,160,car,Over-Speeding,150.43
9.53,5,car,Illegal Parking,0.0
9.57,5,car,Illegal Parking,0.0
9.6,5,car,Illegal Parking,0.0
9.63,5,car,Illegal Parking,0.0
9.67,5,car,Illegal Parking,0.0
9.7,5,car,Illegal Parking,0.0
9.7,135,car,Over-Speeding,118.92
9.73,5,car,Illegal Parking,0.0
9.77,5,car,Illegal Parking,0.0
9.8,5,car,Illegal Parking,7.64
9.8,173,car,Over-Speeding,266.79
9.83,5,car,Illegal Parking,5.4
9.83,177,car,Over-Speeding,158.82
9.87,5,car,Illegal Parking,0.0
9.9,5,car,Illegal Parking,0.0
9.93,5,car,Illegal Parking,0.0
9.97,5,car,Illegal Parking,0.0
10.0,5,car,Illegal Parking,0.0
10.03,5,car,Illegal Parking,0.0
10.07,5,car,Illegal Parking,5.4
10.1,5,car,Illegal Parking,0.0
10.13,5,car,Illegal Parking,5.4
10.17,5,car,Illegal Parking,0.0
10.17,102,car,Over-Speeding,259.71
10.2,5,car,Illegal Parking,0.0
10.23,5,car,Illegal Parking,0.0
10.27,5,car,Illegal Parking,0.0
10.3,5,car,Illegal Parking,0.0
10.3,9,car,Illegal Parking,5.4
10.33,5,car,Illegal Parking,0.0
10.33,9,car,Illegal Parking,5.4
10.37,5,car,Illegal Parking,0.0
10.37,9,car,Illegal Parking,5.4
10.4,5,car,Illegal Parking,0.0
10.4,9,car,Illegal Parking,0.0
10.43,5,car,Illegal Parking,5.4
10.43,9,car,Illegal Parking,5.4
10.43,195,motorcycle,Over-Speeding,113.91
10.47,5,car,Illegal Parking,0.0
10.47,9,car,Illegal Parking,0.0
10.47,178,motorcycle,Over-Speeding,97.8
10.47,196,car,Over-Speeding,145.9
10.5,5,car,Illegal Parking,10.8
10.5,9,car,Illegal Parking,0.0
10.5,102,car,Over-Speeding,113.53
10.53,5,car,Illegal Parking,7.64
10.53,9,car,Illegal Parking,5.4
10.57,5,car,Illegal Parking,0.0
10.57,9,car,Illegal Parking,0.0
10.57,196,car,Over-Speeding,108.13
10.6,5,car,Illegal Parking,10.8
10.6,9,car,Illegal Parking,0.0
10.63,5,car,Illegal Parking,7.64
10.63,9,car,Illegal Parking,0.0
10.63,150,truck,Over-Speeding,89.87
10.67,5,car,Illegal Parking,10.8
10.67,9,car,Illegal Parking,0.0
10.7,5,car,Illegal Parking,5.4
10.7,9,car,Illegal Parking,7.64
10.73,5,car,Illegal Parking,0.0
10.73,9,car,Illegal Parking,0.0
10.77,5,car,Illegal Parking,0.0
10.77,9,car,Illegal Parking,0.0
10.77,190,truck,Over-Speeding,103.73
10.8,5,car,Illegal Parking,0.0
10.8,9,car,Illegal Parking,0.0
10.83,5,car,Illegal Parking,5.4
10.83,9,car,Illegal Parking,5.4
10.87,5,car,Illegal Parking,5.4
10.87,9,car,Illegal Parking,0.0
10.9,5,car,Illegal Parking,5.4
10.9,9,car,Illegal Parking,0.0
10.93,5,car,Illegal Parking,10.8
10.93,9,car,Illegal Parking,0.0
10.97,5,car,Illegal Parking,5.4
10.97,9,car,Illegal Parking,0.0
11.0,5,car,Illegal Parking,0.0
11.0,9,car,Illegal Parking,0.0
11.03,5,car,Illegal Parking,5.4
11.03,9,car,Illegal Parking,0.0
11.07,5,car,Illegal Parking,0.0
11.07,9,car,Illegal Parking,0.0
11.1,5,car,Illegal Parking,0.0
11.1,9,car,Illegal Parking,5.4
11.13,5,car,Illegal Parking,0.0
11.13,9,car,Illegal Parking,7.64
11.17,5,car,Illegal Parking,5.4
11.17,9,car,Illegal Parking,0.0
11.2,5,car,Illegal Parking,5.4
11.2,9,car,Illegal Parking,0.0
11.23,5,car,Illegal Parking,0.0
11.23,9,car,Illegal Parking,0.0
11.23,190,truck,Over-Speeding,141.74
11.27,5,car,Illegal Parking,5.4
11.27,9,car,Illegal Parking,0.0
11.3,5,car,Illegal Parking,7.64
11.3,9,car,Illegal Parking,5.4
11.33,5,car,Illegal Parking,7.64
11.33,9,car,Illegal Parking,5.4
11.37,5,car,Illegal Parking,0.0
11.37,9,car,Illegal Parking,5.4
11.4,5,car,Illegal Parking,0.0
11.4,9,car,Illegal Parking,5.4
11.43,5,car,Illegal Parking,0.0
11.43,9,car,Illegal Parking,5.4
11.47,5,car,Illegal Parking,0.0
11.47,9,car,Illegal Parking,0.0
11.5,5,car,Illegal Parking,0.0
11.5,9,car,Illegal Parking,0.0
11.53,5,car,Illegal Parking,0.0
11.53,9,car,Illegal Parking,5.4
11.57,5,car,Illegal Parking,5.4
11.57,9,car,Illegal Parking,0.0
11.6,5,car,Illegal Parking,0.0
11.6,9,car,Illegal Parking,0.0
11.63,5,car,Illegal Parking,5.4
11.63,9,car,Illegal Parking,0.0
11.67,5,car,Illegal Parking,0.0
11.67,9,car,Illegal Parking,5.4
11.7,5,car,Illegal Parking,5.4
11.7,9,car,Illegal Parking,0.0
11.73,5,car,Illegal Parking,0.0
11.73,9,car,Illegal Parking,5.4
11.77,5,car,Illegal Parking,0.0
11.77,9,car,Illegal Parking,5.4
11.8,5,car,Illegal Parking,0.0
11.8,9,car,Illegal Parking,0.0
11.83,5,car,Illegal Parking,0.0
11.83,9,car,Illegal Parking,0.0
11.87,5,car,Illegal Parking,5.4
11.87,9,car,Illegal Parking,5.4
11.9,5,car,Illegal Parking,5.4
11.9,9,car,Illegal Parking,5.4
11.9,190,truck,Over-Speeding,91.8
11.93,5,car,Illegal Parking,0.0
11.93,9,car,Illegal Parking,0.0
11.97,5,car,Illegal Parking,0.0
11.97,9,car,Illegal Parking,5.4
12.0,5,car,Illegal Parking,5.4
12.0,9,car,Illegal Parking,7.64
12.03,5,car,Illegal Parking,5.4
12.03,9,car,Illegal Parking,5.4
12.03,146,car,Over-Speeding,104.85
12.07,5,car,Illegal Parking,0.0
12.07,9,car,Illegal Parking,0.0
12.1,5,car,Illegal Parking,7.64
12.1,9,car,Illegal Parking,5.4
12.13,5,car,Illegal Parking,0.0
12.13,9,car,Illegal Parking,7.64
12.17,5,car,Illegal Parking,5.4
12.17,9,car,Illegal Parking,10.8
12.2,5,car,Illegal Parking,5.4
12.2,9,car,Illegal Parking,0.0
12.23,5,car,Illegal Parking,0.0
12.23,9,car,Illegal Parking,0.0
12.27,5,car,Illegal Parking,0.0
12.27,9,car,Illegal Parking,0.0
12.3,5,car,Illegal Parking,5.4
12.3,9,car,Illegal Parking,7.64
12.33,5,car,Illegal Parking,5.4
12.33,9,car,Illegal Parking,5.4
12.37,5,car,Illegal Parking,5.4
12.37,9,car,Illegal Parking,5.4
12.4,5,car,Illegal Parking,0.0
12.4,9,car,Illegal Parking,0.0
12.43,5,car,Illegal Parking,5.4
12.43,9,car,Illegal Parking,0.0
12.47,5,car,Illegal Parking,5.4
12.47,9,car,Illegal Parking,0.0
12.5,5,car,Illegal Parking,5.4
12.5,9,car,Illegal Parking,7.64
12.53,5,car,Illegal Parking,5.4
12.53,9,car,Illegal Parking,0.0
12.57,5,car,Illegal Parking,7.64
12.57,9,car,Illegal Parking,5.4
12.6,5,car,Illegal Parking,0.0
12.6,9,car,Illegal Parking,5.4
12.63,5,car,Illegal Parking,5.4
12.63,9,car,Illegal Parking,5.4
12.67,5,car,Illegal Parking,5.4
12.67,9,car,Illegal Parking,0.0
12.67,141,truck,Over-Speeding,429.19
12.7,5,car,Illegal Parking,0.0
12.7,9,car,Illegal Parking,5.4
12.73,5,car,Illegal Parking,0.0
12.73,9,car,Illegal Parking,5.4
12.73,223,motorcycle,Over-Speeding,138.41
12.77,5,car,Illegal Parking,0.0
12.77,9,car,Illegal Parking,0.0
12.8,5,car,Illegal Parking,5.4
12.8,9,car,Illegal Parking,0.0
12.83,5,car,Illegal Parking,0.0
12.83,9,car,Illegal Parking,0.0
12.87,5,car,Illegal Parking,0.0
12.87,9,car,Illegal Parking,0.0
12.9,5,car,Illegal Parking,5.4
12.9,9,car,Illegal Parking,0.0
12.93,5,car,Illegal Parking,7.64
12.93,9,car,Illegal Parking,5.4
12.97,5,car,Illegal Parking,0.0
12.97,9,car,Illegal Parking,5.4
13.0,5,car,Illegal Parking,5.4
13.0,9,car,Illegal Parking,0.0
13.03,5,car,Illegal Parking,0.0
13.03,9,car,Illegal Parking,0.0
13.03,141,truck,Over-Speeding,87.07
13.07,5,car,Illegal Parking,0.0
13.07,9,car,Illegal Parking,0.0
13.1,5,car,Illegal Parking,7.64
13.1,9,car,Illegal Parking,0.0
13.13,5,car,Illegal Parking,0.0
13.13,9,car,Illegal Parking,5.4
13.17,5,car,Illegal Parking,0.0
13.17,9,car,Illegal Parking,5.4
13.2,5,car,Illegal Parking,0.0
13.2,9,car,Illegal Parking,5.4
13.23,5,car,Illegal Parking,0.0
13.23,9,car,Illegal Parking,5.4
13.27,5,car,Illegal Parking,7.64
13.27,9,car,Illegal Parking,7.64
13.3,5,car,Illegal Parking,0.0
13.3,9,car,Illegal Parking,0.0
13.33,5,car,Illegal Parking,0.0
13.33,9,car,Illegal Parking,0.0
13.33,190,truck,Over-Speeding,210.05
13.37,5,car,Illegal Parking,0.0
13.37,9,car,Illegal Parking,0.0
13.4,5,car,Illegal Parking,0.0
13.4,9,car,Illegal Parking,0.0
13.43,5,car,Illegal Parking,0.0
13.43,9,car,Illegal Parking,0.0
13.47,5,car,Illegal Parking,0.0
13.47,9,car,Illegal Parking,5.4
13.5,5,car,Illegal Parking,5.4
13.5,9,car,Illegal Parking,5.4
13.53,5,car,Illegal Parking,0.0
13.53,9,car,Illegal Parking,7.64
13.57,5,car,Illegal Parking,5.4
13.57,9,car,Illegal Parking,0.0
13.57,211,car,Over-Speeding,307.04
13.6,5,car,Illegal Parking,0.0
13.6,9,car,Illegal Parking,0.0
13.63,5,car,Illegal Parking,5.4
13.63,9,car,Illegal Parking,5.4
13.67,5,car,Illegal Parking,0.0
13.67,9,car,Illegal Parking,7.64
13.7,5,car,Illegal Parking,0.0
13.7,9,car,Illegal Parking,0.0
13.73,5,car,Illegal Parking,0.0
13.73,9,car,Illegal Parking,0.0
13.77,5,car,Illegal Parking,5.4
13.77,9,car,Illegal Parking,0.0
13.8,5,car,Illegal Parking,0.0
13.8,9,car,Illegal Parking,0.0
13.83,5,car,Illegal Parking,0.0
13.83,9,car,Illegal Parking,0.0
13.87,5,car,Illegal Parking,0.0
13.87,9,car,Illegal Parking,0.0
13.9,5,car,Illegal Parking,0.0
13.9,9,car,Illegal Parking,7.64
